Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,STANDARD,PARTREV,MAXIMUM_PACKAGE_HEIGHT,MANUFACTURER
1,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C3 C4,C_Small,C_0805_2012Metric,4, ,~,,,,
2,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J1 J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,2, ,~,,,,
3,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J3 J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,2, ,~,,,,
4,"Inductor, small symbol",L_Small,L1,L_Small,L_1008_2520Metric,1, ,~,,,,
5,"Resistor, small symbol",R_Small,R1 R2,R_Small,R_0805_2012Metric,2, ,~,,,,
6,,TPS61099YFFT,U1,TPS61099YFFT,BGA6N40P3X2_122X88X62N,1, ,,IPC 7351B,K,0.625mm,Texas Instruments





Project info:
Schematic:,design
Variant:,default
Revision:,<<version>>
Date:,<<date>>
KiCad Version:,6.0.8+dfsg-1~bpo11+1
Statistics:
Component Groups:,6
Component Count:,12
Fitted Components:,12
Number of PCBs:,1
Total Components:,12
